3291 25 13 505 550 1060 1640
3304 25 13 506 553 1064 1646
3314 25 13 508 555 1066 1652
3326 25 13 510 558 1069 1658
3337 25 13 513 560 1072 1664
3348 25 13 516 561 1078 1668
3382 25 13 518 569 1082 1690
3410 25 13 520 576 1094 1699
3422 25 13 524 579 1098 1704
3434 25 13 526 580 1100 1713
3446 25 13 528 582 1103 1720
3463 25 13 530 584 1109 1729
3505 25 13 532 590 1125 1749
3517 25 13 536 595 1130 1751
3527 25 13 537 595 1133 1758
3547 25 13 541 596 1142 1768
3561 25 13 545 598 1146 1776
3578 25 13 547 601 1153 1783
3588 25 13 548 602 1156 1789
3603 25 13 550 607 1160 1795
3613 25 13 552 608 1164 1800
3627 25 13 553 609 1167 1810
3638 25 13 556 609 1171 1817
3651 25 13 560 611 1176 1823
3661 25 13 562 613 1177 1830
3698 25 13 564 621 1192 1844
3715 25 13 567 624 1197 1853
3726 25 13 570 625 1203 1857
3741 25 13 572 626 1210 1864
3757 25 13 575 631 1217 1868
3780 25 13 576 634 1224 1881
3796 25 13 577 635 1227 1893
3808 25 13 579 636 1232 1899
3819 25 13 581 639 1236 1903
3839 25 13 583 642 1242 1914
3855 25 13 585 644 1250 1920
3870 25 13 588 645 1258 1926
3882 25 13 590 648 1261 1932
3904 25 13 593 653 1267 1943
3923 25 13 596 655 1270 1957
3935 25 13 599 657 1274 1963
3956 25 13 600 660 1283 1972
3971 25 13 603 663 1289 1978
3981 25 13 605 665 1293 1982
4000 25 13 608 668 1302 1989
4019 25 13 610 673 1304 2001
4047 25 13 613 677 1311 2018
4090 25 13 614 684 1323 2042
4100 25 13 616 686 1326 2047
4119 25 13 619 693 1329 2056
4142 25 13 621 698 1336 2067
4159 25 13 622 700 1340 2078
4189 25 13 623 708 1349 2091
4199 25 13 624 710 1354 2094
4211 25 13 627 712 1359 2099
4222 25 13 629 713 1364 2104
4239 25 13 632 715 1368 2115
4259 25 13 634 718 1374 2126
4269 25 13 635 722 1376 2130
4288 25 13 636 724 1384 2139
4316 25 13 640 730 1394 2151
4330 25 13 644 730 1397 2162
4376 25 13 645 738 1415 2182
4388 25 13 649 738 1422 2187
4405 25 13 652 742 1428 2194
4415 25 13 654 743 1432 2199
4429 25 13 655 745 1439 2204
4449 25 13 657 751 1446 2211
4459 25 13 660 753 1450 2215
4472 25 13 661 754 1454 2223
4482 25 13 663 755 1458 2228
4498 25 13 665 758 1461 2238
4508 25 13 668 759 1466 2242
4521 25 13 671 760 1473 2247
4532 25 13 673 762 1476 2253
4543 25 13 675 763 1478 2261
4558 25 13 678 766 1485 2266
4569 25 13 681 770 1488 2270
4585 25 13 683 772 1494 2278
4595 25 13 685 773 1500 2281
4610 25 13 687 776 1504 2289
4634 25 13 688 780 1513 2300
4652 25 13 690 781 1519 2311
4662 25 13 693 782 1521 2318
4685 25 13 697 790 1531 2323
4706 25 13 700 790 1539 2336
4717 25 13 703 792 1544 2340
4741 25 13 704 796 1549 2355
4752 25 13 706 797 1552 2362
